### Module positions - created on 2022-01-06 18:32
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
D56           D_Small             D_0603_1608Metric_Pad1.05x0.. 183.2500   81.3750    183.2500   80.5000      90.0    top       SMD
D55           D_Small             D_0603_1608Metric_Pad1.05x0.. 162.2500   82.0000    162.2500   81.1250      90.0    top       SMD
D54           D_Small             D_0603_1608Metric_Pad1.05x0.. 145.5000   83.6250    145.5000   82.7500      90.0    top       SMD
D53           D_Small             D_0603_1608Metric_Pad1.05x0.. 128.2500   83.3750    128.2500   82.5000      90.0    top       SMD
D52           D_Small             D_0603_1608Metric_Pad1.05x0.. 108.2500   84.1250    108.2500   83.2500      90.0    top       SMD
D51           D_Small             D_0603_1608Metric_Pad1.05x0.. 88.7500    83.7500    88.7500    82.8750      90.0    top       SMD
D50           D_Small             D_0603_1608Metric_Pad1.05x0.. 69.5000    84.6250    69.5000    83.7500      90.0    top       SMD
D49           D_Small             D_0603_1608Metric_Pad1.05x0.. 50.2500    84.8750    50.2500    84.0000      90.0    top       SMD
D48           D_Small             D_0603_1608Metric_Pad1.05x0.. 27.3750    84.0000    26.5000    84.0000       0.0    top       SMD
D47           D_Small             D_0603_1608Metric_Pad1.05x0.. 2.5000     84.5000    2.5000     83.6250      90.0    top       SMD
D46           MX-NoLED            SW_Hotswap_Kailh_1.00u        63.7500    88.7500    56.6650    91.2900       0.0    top       SMD
D45           D_Small             D_0603_1608Metric_Pad1.05x0.. 311.0000   106.2500   311.0000   105.3750     90.0    top       SMD
D44           D_Small             D_0603_1608Metric_Pad1.05x0.. 264.2500   103.3750   264.2500   102.5000     90.0    top       SMD
D43           D_Small             D_0603_1608Metric_Pad1.05x0.. 241.7500   102.7500   241.7500   101.8750     90.0    top       SMD
D42           D_Small             D_0603_1608Metric_Pad1.05x0.. 222.5000   102.5000   222.5000   101.6250     90.0    top       SMD
D41           D_Small             D_0603_1608Metric_Pad1.05x0.. 203.5000   102.2500   203.5000   101.3750     90.0    top       SMD
D40           D_Small             D_0603_1608Metric_Pad1.05x0.. 166.0000   102.7500   166.0000   101.8750     90.0    top       SMD
D39           D_Small             D_0603_1608Metric_Pad1.05x0.. 183.3750   102.0000   182.5000   102.0000      0.0    top       SMD
D38           D_Small             D_0603_1608Metric_Pad1.05x0.. 145.8750   102.7500   145.8750   101.8750     90.0    top       SMD
D37           D_Small             D_0603_1608Metric_Pad1.05x0.. 126.2500   103.2500   126.2500   102.3750     90.0    top       SMD
D36           D_Small             D_0603_1608Metric_Pad1.05x0.. 105.1250   103.0000   104.2500   103.0000      0.0    top       SMD
D35           D_Small             D_0603_1608Metric_Pad1.05x0.. 89.0000    102.0000   89.0000    101.1250     90.0    top       SMD
D34           D_Small             D_0603_1608Metric_Pad1.05x0.. 72.0000    103.6250   72.0000    102.7500     90.0    top       SMD
D33           D_Small             D_0603_1608Metric_Pad1.05x0.. 49.7500    104.6250   49.7500    103.7500     90.0    top       SMD
D32           D_Small             D_0603_1608Metric_Pad1.05x0.. 24.1250    104.0000   23.2500    104.0000      0.0    top       SMD
D31           D_Small             D_0603_1608Metric_Pad1.05x0.. 0.2500     103.5000   0.2500     102.6250     90.0    top       SMD
D30           D_Small             D_0603_1608Metric_Pad1.05x0.. 312.7500   125.6250   312.7500   124.7500     90.0    top       SMD
D29           D_Small             D_0603_1608Metric_Pad1.05x0.. 257.2500   124.2500   257.2500   123.3750     90.0    top       SMD
D28           D_Small             D_0603_1608Metric_Pad1.05x0.. 224.0000   124.6250   224.0000   123.7500     90.0    top       SMD
D27           D_Small             D_0603_1608Metric_Pad1.05x0.. 205.5000   124.3750   205.5000   123.5000     90.0    top       SMD
D26           D_Small             D_0603_1608Metric_Pad1.05x0.. 187.5000   124.7500   187.5000   123.8750     90.0    top       SMD
D25           D_Small             D_0603_1608Metric_Pad1.05x0.. 169.5000   125.0000   169.5000   124.1250     90.0    top       SMD
D24           D_Small             D_0603_1608Metric_Pad1.05x0.. 149.7500   125.1250   149.7500   124.2500     90.0    top       SMD
D23           D_Small             D_0603_1608Metric_Pad1.05x0.. 129.7500   124.5000   129.7500   123.6250     90.0    top       SMD
D22           D_Small             D_0603_1608Metric_Pad1.05x0.. 111.2500   124.1250   111.2500   123.2500     90.0    top       SMD
D21           D_Small             D_0603_1608Metric_Pad1.05x0.. 91.7500    124.2500   91.7500    123.3750     90.0    top       SMD
D20           D_Small             D_0603_1608Metric_Pad1.05x0.. 69.2500    124.1250   69.2500    123.2500     90.0    top       SMD
D19           D_Small             D_0603_1608Metric_Pad1.05x0.. 48.7500    123.0000   48.7500    122.1250     90.0    top       SMD
D18           D_Small             D_0603_1608Metric_Pad1.05x0.. 29.7500    124.0000   29.7500    123.1250     90.0    top       SMD
